年份,第N年,年收益率%,模拟累计净值,年化收益%
1957,1,10.5,1.1,10.5
1958,2,40.9,1.56,24.78
1959,3,25.9,1.96,25.15
1960,4,22.8,2.41,24.56
1961,5,45.9,3.51,28.56
1962,6,13.9,4.0,25.99
1963,7,38.7,5.55,27.73
1964,8,27.8,7.09,27.74
1965,9,23.8,8.78,27.3
1966,10,20.3,10.56,26.58
1967,11,11.0,11.72,25.08
1968,12,19.0,13.95,24.56
1969,13,16.2,16.21,23.9
1970,14,12.0,18.15,23.01
1971,15,16.4,21.13,22.55
1972,16,21.7,25.72,22.5
1973,17,4.7,26.92,21.37
1974,18,5.5,28.41,20.43
1975,19,21.9,34.63,20.51
1976,20,59.3,55.16,22.2
1977,21,31.9,72.76,22.65
1978,22,24.0,90.22,22.71
1979,23,35.7,122.43,23.25
1980,24,19.3,146.05,23.08
1981,25,31.4,191.91,23.4
1982,26,40.0,268.68,24.0
1983,27,32.3,355.46,24.3
1984,28,13.6,403.81,23.9
1985,29,48.2,598.44,24.67
1986,30,26.1,754.64,24.72
1987,31,19.5,901.79,24.54
1988,32,20.1,1083.05,24.4
1989,33,44.4,1563.93,24.97
1990,34,7.4,1679.66,24.41
1991,35,39.6,2344.8,24.82
1992,36,20.3,2820.79,24.69
1993,37,14.3,3224.17,24.4
1994,38,13.9,3672.33,24.11
1995,39,43.1,5255.1,24.57
1996,40,31.8,6926.22,24.74
1997,41,34.1,9288.06,24.96
1998,42,48.3,13774.2,25.47
1999,43,0.5,13843.07,24.83
2000,44,6.5,14742.87,24.38
2001,45,-6.2,13828.81,23.6
2002,46,10.0,15211.69,23.29
2003,47,21.0,18406.14,23.24
2004,48,10.5,20338.79,22.96
2005,49,6.4,21640.47,22.6
2006,50,18.4,25622.32,22.51
2007,51,11.0,28440.77,22.27
2008,52,-9.6,25710.46,21.57
2009,53,19.8,30801.13,21.53
2010,54,13.0,34805.28,21.37
2011,55,4.6,36406.32,21.04
2012,56,14.4,41648.83,20.92
2013,57,18.2,49228.92,20.87
2014,58,8.3,53314.92,20.64
2015,59,6.4,56727.07,20.39
2016,60,10.7,62796.87,20.22
2017,61,23.0,77240.15,20.26
2018,62,0.4,77549.11,19.91
2019,63,11.0,86079.51,19.77
2020,64,2.4,88145.42,19.47
2021,65,29.6,114236.46,19.62
2022,66,4.0,118805.92,19.37
2023,67,15.8,137577.26,19.31
2024,68,25.5,172659.46,19.40
2025,69,11.0,191652.00,19.28
